86,Ecuador,3.3,..,5.6,..,7.5,..,7.8,..,8.4,..,8.5,..,8.6,..,8.5,..
115,Egypt,5.2,..,5.2,..,4.4,..,4.6,..,4.9,..,4.6,..,4.1,..,4.2,..
121,El Salvador,8,..,7.2,..,6.9,..,6.8,..,6.7,..,6.9,..,6.8,..,6.9,..
141,Equatorial Guinea,2.5,..,0.8,..,1.5,..,1.3,..,1.4,..,1.7,..,1.8,..,2.7,..
179,Eritrea,5.6,..,5.3,..,3.7,..,3.4,..,3.2,..,3.2,..,3.4,..,3.3,..
30,Estonia,5.2,..,5,..,6.3,..,5.8,..,5.8,..,6,..,6.2,..,6.5,..
144,Eswatini (Kingdom of),4.6,..,5.9,..,8.2,..,8.5,..,7.4,..,7.3,..,7.2,..,7,..
173,Ethiopia,4.4,..,4.1,..,5.5,..,4.5,..,4.6,..,4.1,..,4,..,4,..
92,Fiji,3.7,..,3.5,..,3.6,..,3.4,..,3.5,..,3.5,..,3.7,..,3.6,..
15,Finland,6.8,..,8,..,8.9,..,8.9,..,9.3,..,9.5,..,9.5,..,9.4,..
24,France,9.5,..,10.2,..,10.7,..,10.7,..,10.8,..,10.9,..,11.1,..,11.1,..
110,Gabon,2.9,..,2.8,..,2.5,..,2.6,..,2.4,..,2.8,..,2.5,..,2.7,..
174,Gambia,3.6,..,4.9,..,5.7,..,6.2,..,6.1,..,6.1,..,7,..,6.7,..
70,Georgia,7.4,..,8.3,..,9.5,..,8.4,..,8.4,..,8.4,..,8.4,..,7.9,..
5,Germany,9.8,..,10.3,..,11,..,10.7,..,10.8,..,11,..,11.1,..,11.2,..
140,Ghana,5.1,..,6.3,..,6.5,..,6.1,..,5.5,..,5.8,..,5.5,..,5.9,..
31,Greece,7.2,..,9,..,9.6,..,9.1,..,8.8,..,8.3,..,7.9,..,8.4,..
75,Grenada,5.1,..,5.3,..,6.1,..,6.1,..,5.8,..,5.6,..,5.3,..,5,..
127,Guatemala,5.2,..,6.6,..,6.4,..,6.2,..,6.3,..,6.2,..,6.2,..,5.7,..
175,Guinea,5,..,4.5,..,4.4,..,5.1,..,4.6,..,4.7,..,4.3,..,4.5,..
177,Guinea-Bissau,6.3,..,6.3,..,6.2,..,5.4,..,4.8,..,4.7,..,6.3,..,6.9,..
125,Guyana,4.4,..,5.4,..,4.6,..,4.9,..,4.8,..,5,..,5.1,..,4.5,..
168,Haiti,6.9,..,5.5,..,10.2,..,10.6,..,10.1,..,7.2,..,7.2,..,6.9,..
133,Honduras,6.3,..,7.2,..,8.2,..,7.6,..,8.4,..,8.2,..,7.7,..,7.6,..
45,Hungary,6.8,..,8,..,7.6,..,7.6,..,7.5,..,7.3,..,7.1,..,7.2,..
6,Iceland,9,..,9.2,..,8.8,..,8.6,..,8.7,..,8.7,..,8.8,..,8.6,..
130,India,4.2,..,3.8,..,3.3,..,3.2,..,3.3,..,3.7,..,3.6,..,3.9,..
116,Indonesia,2,..,2.8,..,3.5,..,3.3,..,3.4,..,3.4,..,3.4,..,3.3,..
60,Iran (Islamic Republic of),5.2,..,6,..,7.8,..,6.7,..,6.8,..,6.3,..,7.1,..,7.6,..
120,Iraq,..,..,2.9,..,3.3,..,2.9,..,3.2,..,3.2,..,3.4,..,3.4,..
4,Ireland,5.9,..,7.6,..,10.5,..,9.9,..,10.1,..,10.4,..,9.9,..,7.8,..
22,Israel,6.8,..,7.1,..,7.1,..,7,..,7.1,..,7.1,..,7.4,..,7.4,..
28,Italy,7.6,..,8.4,..,9,..,8.8,..,9,..,9,..,9,..,9,..
97,Jamaica,5.8,..,4.1,..,5.4,..,5.5,..,5.3,..,5.8,..,5.5,..,5.9,..
19,Japan,7.2,..,7.8,..,9.2,..,10.6,..,10.8,..,10.8,..,10.8,..,10.9,..
95,Jordan,9.6,..,8.9,..,8.1,..,8.3,..,8,..,7.3,..,7.4,..,6.3,..
58,Kazakhstan,4.2,..,4,..,4.2,..,3.6,..,4,..,3.8,..,3.6,..,3.9,..
142,Kenya,5.2,..,5.1,..,6.4,..,5.5,..,5.7,..,5.7,..,5.5,..,5.2,..
134,Kiribati,8.6,..,11.5,..,9.4,..,8.8,..,8.7,..,9.4,..,9.6,..,7.6,..
22,Korea (Republic of),4,..,5.1,..,6.5,..,6.6,..,6.7,..,6.9,..,7.1,..,7.4,..
56,Kuwait,2.5,..,2.4,..,2.8,..,2.6,..,2.6,..,2.6,..,3.2,..,4,..
122,Kyrgyzstan,4.4,..,7.5,..,7.1,..,7.2,..,8.5,..,8.2,..,8.3,..,8.2,..
139,Lao People's Democratic Republic,4.7,..,4.8,..,3.2,..,2.2,..,2.3,..,2.7,..,2.6,..,2.8,..
41,Latvia,7.9,..,8.9,..,8.6,..,7.9,..,7.6,..,7.5,..,7.8,..,5.8,..
80,Lebanon,10.7,..,7.6,..,7.5,..,8.1,..,8,..,7.5,..,7.4,..,7.4,..
159,Lesotho,5.8,..,5.3,..,6.2,..,7.2,..,7.7,..,7.9,..,8.6,..,8.4,..
181,Liberia,3.8,..,8.5,..,10,..,10.5,..,9.3,..,9.2,..,14.1,..,15.2,..
108,Libya,3.4,..,2.6,..,3.4,..,5,..,..,..,..,..,..,..,..,..
35,Lithuania,5.8,..,5.6,..,6.8,..,6.5,..,6.3,..,6.1,..,6.2,..,6.5,..
21,Luxembourg,5.9,..,7.2,..,7,..,6.1,..,6.6,..,6.5,..,6.3,..,6,..
161,Madagascar,5.3,..,5.5,..,5.4,..,5,..,3.8,..,4,..,4.9,..,5.2,..
171,Malawi,4.4,..,6.1,..,7.2,..,7.5,..,8.5,..,11.6,..,9.7,..,9.3,..
57,Malaysia,2.4,..,2.9,..,3.3,..,3.5,..,3.6,..,3.7,..,3.9,..,4,..
101,Maldives,7.4,..,8.8,..,9.3,..,10.2,..,8.4,..,11,..,13,..,11.5,..
182,Mali,5.1,..,5,..,4.4,..,4.1,..,4.4,..,5.4,..,5.8,..,5.8,..
29,Malta,6.5,..,8.7,..,8.2,..,8.6,..,8.6,..,8.9,..,9.5,..,9.6,..
106,Marshall Islands,25.2,..,26.3,..,19.3,..,19.1,..,18.7,..,19.4,..,18.8,..,22.1,..
159,Mauritania,4.5,..,4.5,..,3.3,..,3.2,..,3.3,..,3.6,..,4.2,..,4.6,..
65,Mauritius,3,..,3.7,..,4.7,..,4.4,..,4.4,..,4.7,..,5.4,..,5.5,..
74,Mexico,4.9,..,5.9,..,6,..,5.8,..,5.9,..,6,..,5.7,..,5.9,..
