HDI Rank (2017),Country,2000,Unnamed: 3,2005,Unnamed: 5,2010,Unnamed: 7,2011,Unnamed: 9,2012,Unnamed: 11,2013,Unnamed: 13,2014,Unnamed: 15,2015,Unnamed: 17,2016,Unnamed: 19
168,Afghanistan,190,..,189,..,189,..,189.0,..,189.0,..,189.0,..,189.0,..,189.0,..,189.0,..
68,Albania,22,..,19,..,17,..,17.0,..,16.0,..,19.0,..,16.0,..,16.0,..,16.0,..
85,Algeria,74,..,80,..,77,..,73.0,..,73.0,..,67.0,..,72.0,..,74.0,..,70.0,..
35,Andorra,21,..,15,..,9.5,..,4.1,..,13.0,..,7.1,..,8.7,..,5.9,..,6.0,..
147,Angola,297,..,368,..,384,..,383.0,..,380.0,..,376.0,..,370.0,..,370.0,..,370.0,..
70,Antigua and Barbuda,5.5,..,7.7,..,8.5,..,7.2,..,3.6,..,12.0,..,3.5,..,5.0,..,3.4,..
47,Argentina,37,..,31,..,20,..,27.0,..,24.0,..,24.0,..,25.0,..,25.0,..,24.0,..
83,Armenia,54,..,92,..,61,..,55.0,..,53.0,..,60.0,..,57.0,..,47.0,..,44.0,..
3,Australia,6.3,..,5.9,..,6.5,..,6.3,..,6.6,..,6.2,..,6.5,..,6.1,..,6.1,..
20,Austria,17,..,13,..,9.1,..,9.1,..,8.4,..,8.4,..,7.5,..,7.5,..,8.2,..
80,Azerbaijan,80,..,88,..,104,..,125.0,..,86.0,..,78.0,..,76.0,..,71.0,..,66.0,..
54,Bahamas,32,..,17,..,9.9,..,13.0,..,9.9,..,10.0,..,15.0,..,18.0,..,26.0,..
43,Bahrain,36,..,36,..,23,..,20.0,..,20.0,..,18.0,..,16.0,..,14.0,..,12.0,..
136,Bangladesh,221,..,221,..,221,..,221.0,..,221.0,..,221.0,..,221.0,..,221.0,..,221.0,..
58,Barbados,1.3,..,4,..,2.5,..,0.0,..,1.6,..,1.6,..,2.0,..,0.0,..,1.2,..
53,Belarus,83,..,74,..,69,..,67.0,..,64.0,..,61.0,..,58.0,..,55.0,..,52.0,..
17,Belgium,14,..,12,..,11,..,10.0,..,9.4,..,9.3,..,9.1,..,9.5,..,10.0,..
106,Belize,49,..,41,..,52,..,26.0,..,29.0,..,40.0,..,24.0,..,25.0,..,38.0,..
