Country,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,0.42907594147509137,0.385397552223136,0.3481424555082328,0.34171916297118055,0.3352958704341283,0.33015723640448646,0.3250186023748447,0.3198799683452029
Albania,0.46682564870810167,0.41035480410631514,0.35011923653107624,0.3312956216638141,0.31623672977000433,0.3124720067965519,0.30494256084964705,0.3011778378761946
Algeria,0.4640560879296347,0.3881727024820215,0.3385566427662744,0.33271945927030416,0.3268822757743339,0.32104509227836364,0.3181265005303785,0.31228931703440826
Angola,0.45634386543994715,0.39706390252740503,0.34337638894623473,0.3333099801497653,0.3232435713532959,0.3198881017544728,0.31653263215564964,0.3131771625568265
Antigua and Barbuda,0.39258754940180435,0.37295817193171416,0.3533287944616239,0.34896671057938167,0.34460462669713937,0.34024254281489713,0.33806150087377596,0.3336994169915337
Argentina,0.3952879125141009,0.375632712444339,0.35160969013685217,0.3472418678991273,0.3450579567802649,0.34069013454254,0.33632231230481513,0.33195449006709027
Armenia,0.3805866411875929,0.3710719751579031,0.3596543759222753,0.3520426430985234,0.3463338434807095,0.3425279770688336,0.3387221106569577,0.33491624424508176
Australia,0.3271575920356888,0.28375913594932195,0.2637290792940757,0.26039073651820127,0.25371405096645255,0.2503757081905782,0.25371405096645255,0.6954586006667565
Austria,0.3731305386222651,0.32871023640532876,0.2961353481129088,0.2783672272261343,0.26948316678274703,0.26356045982048887,0.25467639937710157,0.6169224930852829
Azerbaijan,0.4206183080525993,0.37684355201092606,0.34639154780802295,0.3406817970199786,0.3349720462319343,0.3349720462319343,0.3330687959692528,0.33116554570657136
Bahamas,0.40137807340195897,0.3728281685993092,0.35099588845610635,0.34763707612638284,0.3425988576317976,0.3392400453020741,0.3358812329723506,0.3325224206426271
Bahrain,0.432780940671102,0.37595112017893706,0.3453504476062329,0.3409789229529894,0.336607398299746,0.33223587364650253,0.32786434899325906,0.32349282434001564
Bangladesh,0.39055316328163026,0.3705816947047287,0.35282927819192733,0.35061022612782716,0.348391174063727,0.34173401787142643,0.3372959137432261,0.33285780961502576
Barbados,0.41117605449589056,0.37954712722697587,0.35055394389713745,0.345282456018985,0.3400109681408326,0.33473948026268013,0.3321037363236039,0.32683224844545145
Belarus,0.40743679495417606,0.4247010659268106,0.38441776699066327,0.38671966978701455,0.33032305127640826,0.315360683100125,0.30039831492384167,0.23977137836033816
Belgium,0.445532182100108,0.39069745199547934,0.3495714044170078,0.34271706315392925,0.33928989252238995,0.3221540393646935,0.3118725274700756,0.305018186206997
Belize,0.37418255378749204,0.36331418085590517,0.35089318321980584,0.35089318321980584,0.35244580792431823,0.34934055851529344,0.3446826844017562,0.34157743499273135
Benin,0.3955660466571171,0.37170650733494176,0.35035849846773226,0.34784696801276643,0.3453354375578006,0.3415681418753519,0.3378008461929032,0.3340335505104544
Bhutan,0.44405292346305586,0.3841288265251348,0.3441794285665208,0.33803336734211864,0.3318873061177165,0.32727776019941485,0.32266821428111325,0.3180586683628116
Bolivia (Plurinational State of),0.41128974789951844,0.3810478546716127,0.3508059614437069,0.34475758279812574,0.3387092041525446,0.3341729201683587,0.3311487308455682,0.3281245415227776
Bosnia and Herzegovina,0.41353073165139115,0.37500302373355965,0.349317885121672,0.3467493712604833,0.3416123435381057,0.3364753158157282,0.33133828809335064,0.32620126037097313
Botswana,0.5049338079742338,0.44837466389919794,0.34673214411217684,0.32951849156760066,0.3114851412828066,0.29017300003714086,0.26886085879147514,0.24836841528602738
Brazil,0.4173741785066658,0.37866608937096696,0.3500557626184939,0.34332392102967674,0.33827503983806384,0.3349091190436552,0.3298602378520423,0.32649431705763376
Brunei Darussalam,0.40066345763112665,0.361889574634566,0.3489649469690458,0.3489649469690458,0.3489649469690458,0.34250263313628565,0.3392714762199056,0.33280916238714553
Bulgaria,0.3808930809042097,0.37242879021744946,0.3334930530583525,0.35507223909010405,0.3488913671890688,0.34317199336908843,0.3392040170044769,0.35266383064028617
Burkina Faso,0.4227451497594352,0.3838855677481222,0.348558675010565,0.34267085955430543,0.33796060718929777,0.3320727917330382,0.3273625393680306,0.32147472391177107
Burundi,0.3905379296461404,0.3803144236344614,0.3557780092064316,0.34964390559942415,0.3435098019924167,0.3394203995877451,0.33430864658190557,0.3302192441772339
Cabo Verde,0.4018161066101087,0.3589256233202656,0.34989604789082496,0.34989604789082496,0.34763865403346483,0.3431238663187445,0.33860907860402417,0.33409429088930387
Cambodia,0.4454574625203652,0.3829103530568893,0.3432463324215143,0.33714417540068736,0.3325675576350672,0.327990939869447,0.3234143221038268,0.31731216508299986
Cameroon,0.3935596851790891,0.3694830926740154,0.3518886596895385,0.3509626369008818,0.35003661411222514,0.3426284318029717,0.3361462722823749,0.32966411276177815
Canada,0.2258758268626513,0.2102210665850418,0.19009351765668675,0.1811479403551956,0.4609120259619991,0.45335629824124807,0.44811429973633427,0.46589573704140197
Central African Republic,0.3994914515869569,0.39283326072717434,0.3580627084594207,0.35066471861521775,0.34326672877101483,0.33438914095797134,0.3247717541605076,0.3158941663474641
Chad,0.3771622734942488,0.37186256941704626,0.3541968891597044,0.350663753108236,0.34624733304390054,0.3444807650181664,0.3418309129795651,0.3400643449538309
Chile,0.4131487129809892,0.38114423521485624,0.3520492554274627,0.3462302594699839,0.3404112635125052,0.33459226755502647,0.32877327159754777,0.32295427564006907
China,0.4300477453339093,0.374557713677921,0.34681269784992685,0.3433445708714276,0.3364083169144291,0.3329401899359298,0.32947206295743053,0.322535809000432
